File name,221.100
Result analysis file name,221_bl.raf
Subject,221
Gender,
Age
Memo
Free comment 1,SubjectID,221
Free comment 2,Date,01/02/1970
Free comment 3
Free comment 4
Free comment 5
Free comment 6
Free comment 7
Free comment 8
Free comment 9
Free comment 10

1_EEG,,,uV^2,uV^2,uV^2,uV^2,uV^2,,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,
EpochNo,Stage,Time,Delta,Theta,Alpha,Beta,Gamma,,0.000000Hz,0.488281Hz,0.976563Hz,1.464844Hz,1.953125Hz,2.441406Hz,2.929688Hz,3.417969Hz,3.906250Hz,4.394531Hz,4.882813Hz,5.371094Hz,5.859375Hz,6.347656Hz,6.835938Hz,7.324219Hz,7.812500Hz,8.300781Hz,8.789063Hz,9.277344Hz,9.765625Hz,10.253906Hz,10.742188Hz,11.230469Hz,11.718750Hz,12.207031Hz,12.695313Hz,13.183594Hz,13.671875Hz,14.160156Hz,14.648438Hz,15.136719Hz,15.625000Hz,16.113281Hz,16.601563Hz,17.089844Hz,17.578125Hz,18.066406Hz,18.554688Hz,19.042969Hz,19.531250Hz,
29,W,4/20/2017 19:01:56,809.559684,481.932588,168.222108,223.406544,274.146440,,3.605099,52.769684,201.971069,270.434814,56.781769,33.614807,6.537462,31.793705,92.058304,31.247000,32.351070,66.151222,83.397934,52.714207,36.354401,41.424725,10.348622,48.321995,143.219482,26.024067,74.743950,33.143551,7.243161,11.966581,15.100798,21.381729,23.675514,22.529003,16.083061,6.396644,13.183355,1.816924,6.594076,10.639608,9.816505,8.527408,8.001290,3.536663,19.058472,41.910427,10.255863,
30,W,4/20/2017 19:02:00,1202.101592,542.692343,62.338653,240.984950,143.295054,,4.015374,15.299949,150.139404,364.921234,154.523621,57.871456,37.498810,37.087322,114.514381,153.321991,116.923424,128.140106,137.699341,100.352829,66.397751,10.530274,9.548505,48.648636,41.374901,11.229658,4.185404,7.019763,20.243683,16.047100,3.613044,9.245428,8.098969,8.213859,33.035641,28.406826,10.556458,2.705716,8.797254,12.688194,21.737898,13.488538,10.843527,5.350361,21.738562,21.101219,24.976501,
31,W,4/20/2017 19:02:04,729.175325,326.037164,193.569571,209.336962,102.727308,,1.390037,3.595264,35.679855,60.040382,25.459835,42.277786,47.478989,7.850084,160.825394,234.579041,111.388695,56.356644,43.033028,7.041532,69.297554,22.834280,65.544670,30.327082,31.602375,43.524929,90.661804,24.714331,17.461050,8.834399,8.373057,45.312592,25.663029,4.992146,18.987885,4.353912,5.630075,3.773423,11.171380,11.775653,11.428360,16.192076,21.175743,15.882922,4.885589,1.461994,6.650185,
32,W,4/20/2017 19:02:08,476.945510,522.959175,96.691710,132.795530,146.224044,,11.123695,17.701117,47.057259,46.669518,39.278893,105.785698,114.477394,10.051497,22.244596,36.139576,37.539963,11.289648,5.101938,51.134735,37.775909,49.516430,120.452492,186.005920,61.682102,28.068110,16.747580,31.658400,5.998316,4.269253,9.950053,6.384298,6.860283,9.719373,10.965161,6.865761,2.161386,8.435940,11.863957,11.420398,6.606696,9.592432,5.008620,14.996177,0.342466,16.060472,5.512110,
33,W,4/20/2017 19:02:12,644.109526,480.761019,128.286943,213.912760,174.332998,,32.906315,57.127945,51.569065,56.462482,147.602448,86.224388,25.348936,67.198204,47.872311,43.076954,61.626793,17.645660,10.444288,89.141212,69.909386,29.187492,82.511925,130.367462,51.553593,21.922081,53.084122,23.029650,20.546223,3.516735,6.188133,5.724102,15.685135,6.672426,8.304996,9.122631,8.117989,10.767396,12.776636,2.847155,18.467863,25.184341,34.360939,10.633692,9.843166,13.807264,21.597029,
34,W,4/20/2017 19:02:16,1155.875114,527.327364,185.149740,140.936389,142.354719,,40.005760,156.186569,53.841888,38.684593,135.626541,204.109451,169.299606,59.775818,94.283173,148.680115,95.387360,41.293076,16.849537,81.890900,149.486938,113.426079,54.656265,30.952234,38.772335,36.612988,40.712200,47.126137,3.510328,20.353279,36.834808,2.355771,8.535644,6.211118,8.490388,10.801208,9.057313,7.319165,18.370422,18.723175,20.806555,5.543895,5.007062,1.432473,6.183398,6.290170,5.808633,
35,W,4/20/2017 19:02:20,804.901176,445.120571,125.241101,320.273080,188.159098,,16.091782,74.801620,98.709587,75.656250,115.716057,156.602631,46.820381,42.107281,50.593739,25.406174,118.487457,76.900024,107.872574,53.781822,32.309204,48.283100,46.775421,20.681992,58.516434,62.878216,13.880353,3.747817,11.428679,11.285803,22.020233,20.659382,18.300934,37.613491,38.219948,27.069681,54.293152,30.441683,6.812092,4.443027,3.135316,7.021248,14.940039,11.508675,16.705601,16.976624,12.132189,
36,W,4/20/2017 19:02:24,635.864582,264.590369,151.208234,167.503143,159.236646,,6.370186,20.429596,54.940712,107.884499,37.348602,43.550819,80.870117,60.674431,59.306187,92.051056,78.808563,18.100645,12.750458,12.484685,23.052788,16.202744,40.092937,69.762009,72.144104,63.161987,10.703313,31.955210,12.145201,11.654106,21.588417,24.832626,7.569438,5.038982,3.131900,3.264316,3.424122,0.531915,8.468408,16.626078,5.425257,11.563221,28.055212,21.191946,11.467544,7.790577,9.121602,
37,W,4/20/2017 19:02:28,1182.772976,342.230392,97.183551,195.627322,264.706933,,1.338181,16.521088,94.627426,145.048050,151.897018,171.864456,169.043121,28.701229,157.796921,156.452530,90.821136,46.578625,21.689825,35.431602,44.459782,47.427490,6.086273,28.527651,112.029144,48.080048,7.693748,1.978147,11.583551,10.997749,16.850307,15.022247,10.013403,21.323193,17.970680,18.924461,17.957361,10.925961,7.664322,17.824823,7.129792,9.292331,17.005959,7.299332,4.979006,5.267419,7.027031,
38,W,4/20/2017 19:02:32,457.440819,479.840195,235.749693,198.493009,191.848749,,1.978472,22.157650,86.339783,84.487762,30.556946,86.303421,39.591991,6.947900,14.849748,21.627996,64.577621,47.445297,52.064102,95.886726,75.455048,59.567604,50.033428,41.745743,57.642246,80.573174,21.167406,27.309530,53.728828,28.685356,24.285398,14.487685,22.242830,4.801960,9.052269,16.575890,2.422915,1.055028,7.979767,9.495193,19.293526,13.456014,14.721871,26.157446,24.872704,5.096173,6.781738,
