File name	0061.100
Result analysis file name	0061_baseline.raf
Subject	0061
Gender	
Age
Memo
Free comment 1	SubjectID	0061
Free comment 2	Date	01/02/1970
Free comment 3
Free comment 4
Free comment 5
Free comment 6
Free comment 7
Free comment 8
Free comment 9
Free comment 10

1_EEG			uV^2	uV^2	uV^2	uV^2	uV^2		uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	
EpochNo	Stage	Time	Delta	Theta	Alpha	Beta	Gamma		0.000000Hz	0.488281Hz	0.976563Hz	1.464844Hz	1.953125Hz	2.441406Hz	2.929688Hz	3.417969Hz	3.906250Hz	4.394531Hz	4.882813Hz	5.371094Hz	5.859375Hz	6.347656Hz	6.835938Hz	7.324219Hz	7.812500Hz	8.300781Hz	8.789063Hz	9.277344Hz	9.765625Hz	10.253906Hz	10.742188Hz	11.230469Hz	11.718750Hz	12.207031Hz	12.695313Hz	13.183594Hz	13.671875Hz	14.160156Hz	14.648438Hz	15.136719Hz	15.625000Hz	16.113281Hz	16.601563Hz	17.089844Hz	17.578125Hz	18.066406Hz	18.554688Hz	19.042969Hz	19.531250Hz	
29	W	12/23/2016 16:01:56	918.865063	54.112568	8.749622	7.964468	0.732615		56.679359	281.834900	327.938812	143.534256	51.525227	22.223492	14.689686	29.611668	16.371988	17.412973	13.722061	12.332862	7.921868	5.068438	4.868631	4.364770	8.076797	7.416450	4.062753	1.665430	0.684711	2.057594	3.002101	1.142188	0.197597	0.821869	1.880149	1.545989	0.881906	0.708300	0.823236	0.239807	0.174842	0.091699	0.165431	0.042384	0.082062	0.125517	0.136881	0.195757	0.048640	
30	W*	12/23/2016 16:02:00	2384.582211	40.423479	20.069984	14.729722	0.735389		1.071110	278.785217	1058.769287	558.307922	155.293945	73.676590	42.104744	107.969917	67.249237	30.288479	12.136872	7.963748	5.727969	5.260697	4.289934	5.109563	4.068699	3.662264	4.340605	5.955605	5.474067	2.977727	2.132300	2.082406	1.447879	0.939842	0.586451	1.130020	0.285977	0.628618	2.315535	2.687651	1.519501	1.260533	1.737437	0.658495	0.301975	0.337677	0.205412	0.004423	0.130176	
31	W*	12/23/2016 16:02:04	33499.387898	38.810435	23.268894	12.356566	0.796909		3255.680664	23846.929688	8424.097656	948.674011	124.983116	55.644810	40.042221	21.075859	15.810113	12.693144	9.437281	5.358593	7.534356	4.774549	1.995532	1.924864	6.968077	5.267832	4.986631	11.521668	3.069065	2.864260	2.481630	1.752444	1.579826	1.753617	1.760939	0.109557	1.558724	1.283636	0.438156	0.656310	0.226302	0.525303	0.624077	0.918617	0.763128	0.679355	0.631796	0.165151	0.261899	
32	W*	12/23/2016 16:02:08	9307.321872	51.170325	10.114172	6.858064	1.032801		4000.417480	7479.378906	1557.001343	109.670639	57.465130	35.029755	21.841303	16.615280	15.586536	7.944755	6.788225	6.398011	3.879970	11.266260	5.275698	2.714866	4.647746	7.368180	9.619594	3.162757	2.791951	3.070119	0.624103	0.344597	0.120645	0.864082	0.693311	0.475026	0.712893	0.771058	0.155213	0.116922	0.589698	0.437734	0.231705	0.278953	0.494833	0.472946	0.385671	0.145524	0.032499	
33	W*	12/23/2016 16:02:12	483730.697754	72363.379883	84835.229492	72043.607544	6811.986820		23481.974609	98548.125000	111939.343750	80631.375000	104418.093750	44097.582031	5371.037109	9488.712891	10712.235352	11392.559570	7131.633301	14766.236328	6935.119629	7737.207520	5338.969238	11707.007813	4755.315918	7853.638672	13269.884766	24070.289063	10443.080078	8298.603516	15307.652344	14971.183594	11744.420898	6013.442383	2750.237061	11706.931641	5785.462891	12356.806641	4559.649902	6589.774902	4004.679443	641.044312	3453.512695	1623.118164	1281.007080	2844.224854	3774.996582	2179.756592	2478.962402	
34	W*	12/23/2016 16:02:16	965.303903	30.474214	4.348130	3.142870	1.384911		128.790726	262.557495	202.716782	274.608337	114.049530	19.922745	21.249138	24.978252	24.795856	13.385081	7.040686	6.569945	1.685575	3.035555	8.258105	6.100931	3.099031	1.262316	0.462754	0.924855	1.156303	0.154892	1.062984	0.782424	0.266672	0.515347	0.484169	0.323373	0.280059	0.254586	0.117011	0.052472	0.111270	0.327887	0.088546	0.166604	0.078415	0.130896	0.100892	0.014714	0.096630	
35	W	12/23/2016 16:02:20	164.329438	10.229528	5.589326	4.173101	0.566065		6.768049	51.978638	58.664661	22.876339	7.852053	3.492376	2.970235	3.670366	2.216638	4.829969	5.778162	2.395710	0.940603	2.226492	0.812354	1.123759	0.604329	1.691420	0.434862	0.497754	1.267667	1.234744	1.259645	0.674477	0.655039	0.437613	0.201839	0.060499	0.210118	0.172422	0.436926	0.624033	0.596630	0.444879	0.181536	0.300532	0.185250	0.019157	0.114909	0.124879	0.061878	
36	W	12/23/2016 16:02:24	404.630389	15.840958	5.789040	6.556897	0.607009		30.614880	164.809128	155.132660	28.837360	19.052505	7.446034	7.373919	2.817539	4.249984	7.883129	7.028130	4.176935	2.639914	2.149000	2.931171	1.838294	1.018640	0.494863	0.592141	1.181601	2.028497	1.708932	0.569015	0.197298	0.103696	0.730823	1.023339	0.277707	0.666605	0.842328	0.302287	0.338923	0.516169	0.337868	0.311967	0.456402	0.489408	0.092104	0.014769	0.120324	0.035875	
37	W	12/23/2016 16:02:28	680.872578	35.006132	19.205455	10.224906	0.894796		5.855664	149.892059	263.418915	126.822197	47.144363	15.239678	6.761652	23.640619	23.688171	16.885735	7.379187	3.195103	3.070819	4.950429	7.576987	4.205089	2.402572	1.845902	7.759230	9.220097	4.593499	2.045774	1.530834	1.071907	0.743344	0.124299	0.456587	1.093643	0.952080	0.677214	1.071510	0.759401	0.777411	0.853955	0.739400	0.532800	0.874549	0.643989	0.325145	0.161256	0.181667	
38	W	12/23/2016 16:02:32	826.618416	24.661406	6.379076	7.545850	0.808566		249.812469	581.729431	153.676971	35.803505	9.568817	14.191719	3.069972	7.319960	7.599874	2.882435	10.775733	9.493361	3.790485	3.704808	3.020196	1.223566	0.189637	0.764202	2.475151	1.285654	1.200557	1.161937	0.224978	0.603489	1.902460	2.124792	0.677877	1.092859	0.533244	0.197462	0.349695	0.193370	0.607095	0.474912	0.255423	0.053740	0.141442	0.050496	0.096518	0.324338	0.372586	
